richness,intransitivity,functional_div,phylogenetic_div,mean_competitive_ability,var_competitive_ability,biomass_measured,respiration_measured,cue_measured,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
12,0.76,3.695,150.33,0.297,0.074,0.928,3.327,0.218,f.fom,h.seti,l.conif,l.gilb,l.huron,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,x.sub
12,0.73,4.334,144.45,0.423,0.108,0.778,3.704,0.174,f.fom,l.carib,l.huron,m.trem,p.flav,p.gilv,p.har,p.pend,p.rufa.acer,s.comm,t.chion,x.sub
12,0.67,3.692,150.35,0.441,0.099,0.572,3.33,0.147,h.seti,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,x.sub
12,0.76,4.349,141.53,0.414,0.074,0.614,3.434,0.152,f.fom,h.seti,l.carib,l.conif,m.trem,p.flav,p.gilv,p.robin,p.sang,s.comm,t.chion,x.sub
12,0.76,4.228,142.82,0.324,0.049,0.775,2.752,0.22,f.fom,h.seti,l.carib,l.gilb,l.huron,m.trem,p.gilv,p.har,p.robin,p.sang,t.chion,x.sub
12,0.7,4.145,149.92,0.396,0.117,0.666,3.265,0.169,f.fom,l.gilb,l.huron,m.trem,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,t.chion,x.sub
12,0.61,3.413,138.33,0.428,0.109,0.701,3.591,0.163,f.fom,h.seti,l.conif,l.crin,l.huron,m.trem,p.flav,p.gilv,p.pend,p.rufa.acer,p.sang,s.comm
12,0.71,4.351,140.48,0.437,0.105,0.675,3.513,0.161,l.conif,l.crin,l.huron,m.trem,p.flav,p.gilv,p.har,p.robin,p.rufa.acer,p.sang,t.chion,x.sub
12,0.8,3.822,147.68,0.354,0.072,0.745,2.378,0.238,f.fom,h.seti,l.carib,l.crin,l.gilb,m.trem,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,x.sub
12,0.83,4.554,146.5,0.351,0.08,0.65,3.652,0.151,f.fom,l.carib,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.har,p.pend,s.comm,t.chion,x.sub
12,0.64,3.834,143.88,0.493,0.089,0.689,3.724,0.156,h.seti,l.crin,l.huron,m.trem,p.flav,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.62,3.879,144.56,0.428,0.103,0.549,3.053,0.152,f.fom,h.seti,l.carib,l.conif,l.gilb,p.flav,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion
12,0.65,3.328,141.5,0.367,0.1,0.708,3.776,0.158,f.fom,l.carib,l.crin,l.gilb,l.huron,p.flav,p.gilv,p.har,p.pend,p.rufa.acer,p.sang,s.comm
12,0.71,3.992,134.35,0.367,0.101,0.744,3.727,0.166,f.fom,l.carib,l.conif,l.crin,l.huron,p.flav,p.gilv,p.har,p.rufa.acer,p.sang,s.comm,x.sub
12,0.59,3.89,136.32,0.392,0.091,0.739,3.346,0.181,f.fom,h.seti,l.conif,l.crin,l.gilb,l.huron,m.trem,p.pend,p.rufa.acer,p.sang,s.comm,t.chion
12,0.67,3.806,139.39,0.333,0.081,0.721,3.075,0.19,f.fom,h.seti,l.carib,l.conif,l.crin,l.gilb,l.huron,p.gilv,p.pend,p.rufa.acer,s.comm,t.chion
12,0.79,4.242,153.45,0.322,0.071,0.72,3.276,0.18,f.fom,l.conif,l.crin,l.gilb,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,s.comm,t.chion,x.sub
12,0.71,3.998,134.94,0.374,0.076,0.413,2.937,0.123,f.fom,h.seti,l.carib,l.conif,l.crin,l.huron,m.trem,p.flav,p.robin,p.sang,s.comm,x.sub
12,0.68,4.305,141.88,0.365,0.089,0.673,2.771,0.195,f.fom,h.seti,l.carib,l.conif,l.gilb,l.huron,m.trem,p.flav,p.gilv,p.har,s.comm,t.chion
12,0.79,4.335,141.76,0.394,0.072,0.827,3.949,0.173,f.fom,l.carib,l.conif,l.crin,m.trem,p.flav,p.gilv,p.har,p.robin,p.sang,s.comm,t.chion
12,0.79,4.036,151.8,0.338,0.073,0.975,3.243,0.231,f.fom,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.har,p.pend,p.robin,p.sang,s.comm,x.sub
12,0.68,4.243,143.15,0.439,0.102,0.416,4.4,0.086,h.seti,l.carib,l.conif,l.huron,m.trem,p.flav,p.har,p.pend,p.rufa.acer,p.sang,s.comm,x.sub
12,0.67,3.986,140.15,0.403,0.113,0.514,3.342,0.133,f.fom,h.seti,l.carib,l.conif,l.huron,m.trem,p.flav,p.gilv,p.pend,p.rufa.acer,s.comm,x.sub
12,0.71,3.83,151.11,0.43,0.088,0.648,3.521,0.156,l.crin,l.gilb,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.76,4.355,140.32,0.309,0.078,0.547,2.992,0.155,f.fom,l.carib,l.conif,l.gilb,l.huron,p.har,p.pend,p.robin,p.rufa.acer,p.sang,t.chion,x.sub
12,0.7,4.143,148,0.455,0.104,0.584,3.404,0.147,f.fom,h.seti,l.carib,l.conif,m.trem,p.flav,p.gilv,p.pend,p.robin,p.rufa.acer,s.comm,t.chion
12,0.7,3.96,138.14,0.39,0.082,0.557,2.651,0.174,f.fom,h.seti,l.carib,l.crin,l.gilb,l.huron,m.trem,p.flav,p.har,p.pend,p.sang,t.chion
12,0.7,4.193,152.11,0.374,0.083,0.594,2.7,0.18,f.fom,l.conif,l.gilb,m.trem,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion
12,0.7,3.851,141.48,0.432,0.069,0.803,3.784,0.175,f.fom,h.seti,l.crin,m.trem,p.gilv,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.67,4.057,127.79,0.45,0.111,0.536,2.802,0.161,f.fom,h.seti,l.carib,l.conif,l.crin,l.huron,m.trem,p.flav,p.pend,p.rufa.acer,p.sang,t.chion
